Visit Information for OP Package 2406406f01

VISIT ID       PCS MODE    VISIT TYPE                     SCHEDULED START TIME  DURATION     SCIENCE INSTRUMENT AND MODE                         TARGET NAME                      CATEGORY                        KEYWORDS                        
3960:11:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T04:43:18Z  00/00:29:44  MIRI Medium Resolution Spectroscopy                 MRK-1450-BKG                     Galaxy                          Blue compact dwarf galaxies
3428:19:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T05:26:55Z  00/00:19:25  NIRSpec IFU Spectroscopy                            J110041.94+580001.3              Galaxy                          Quasars
3171:15:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T06:29:58Z  00/05:34:47  NIRSpec Bright Object Time Series                   TOI-3714                         Star                            M dwarfs
3486:13:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T12:30:40Z  00/00:19:37  MIRI Low Resolution Spectroscopy                    2MASS-J06420559+4101599          Star                            Brown dwarfs
3486:14:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T12:59:39Z  00/00:19:18  NIRSpec Fixed Slit Spectroscopy                     2MASS-J06420559+4101599          Star                            Brown dwarfs
3921:26:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T13:37:41Z  00/00:50:36  MIRI Imaging                                        SN2019oys                        Star                            Supernovae
3730:6:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T15:08:23Z  00/03:57:34  MIRI Imaging                                        HD-260655                        Star                            Exoplanet Systems, M dwarfs
3730:24:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T19:10:43Z  00/00:10:48  MIRI Imaging                                        HD-260655_offset                 Calibration                     Telescope/sky background
4479:6:3       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T19:41:17Z  00/00:17:22  NIRISS External Calibration                         ECLIPTIC-RA60                    Calibration                     External flat field
4479:6:2       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T20:03:23Z  00/00:29:30  NIRISS External Calibration                         ECLIPTIC-RA60                    Calibration                     External flat field
4479:6:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T20:37:37Z  00/00:29:30  NIRISS External Calibration                         ECLIPTIC-RA60                    Calibration                     External flat field
4453:1:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T21:46:35Z  00/00:31:29  NIRCam Engineering Imaging                          LAWD-52                          Calibration                     White dwarfs
1520:87:1      NONE        PARALLEL SLEW CALIBRATION      ^ATTACHED TO PRIME^                MIRI Anneal                                       
4453:2:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T22:24:29Z  00/00:28:26  NIRCam Engineering Imaging                          LAWD-52                          Calibration                     White dwarfs
4192:13:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-07T23:10:30Z  00/00:41:14  MIRI Low Resolution Spectroscopy                    BZK-17999                        Galaxy                          Infrared galaxies
3428:25:1      FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T00:17:18Z  00/00:19:25  NIRSpec IFU Spectroscopy                            J132825.16+444500.2              Galaxy                          Quasars
3663:5:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T01:10:35Z  00/03:00:11  NIRSpec IFU Spectroscopy                            J0954                            Galaxy                          Active galactic nuclei, Dwarf galaxies
3663:6:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T04:19:09Z  00/00:53:17  NIRSpec IFU Spectroscopy                            J0954_background                 Calibration                     Telescope/sky background
3428:9:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T05:37:31Z  00/00:19:25  NIRSpec IFU Spectroscopy                            J083122.57+404623.3              Galaxy                          Quasars
3368:111:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T06:10:46Z  00/00:56:23  NIRCam Imaging                                      IR08572-NW                       Galaxy                          Infrared galaxies, Interacting galaxies
3368:142:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T07:13:08Z  00/00:18:20  NIRCam Imaging                                      IR08572-NW                       Galaxy                          Infrared galaxies, Interacting galaxies
3368:109:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T07:40:07Z  00/00:37:24  NIRSpec IFU Spectroscopy                            IR08572-NW                       Galaxy                          Infrared galaxies, Interacting galaxies
3368:110:1     FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T08:22:32Z  00/00:34:21  NIRSpec IFU Spectroscopy                            IR08572-SE                       Galaxy                          Infrared galaxies, Interacting galaxies
4195:4:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T09:30:28Z  00/04:43:58  NIRSpec Bright Object Time Series                   TOI-1685                         Star                            Exoplanet Systems, M dwarfs, M stars
                                                                                                                                                 2MASS04342521+4302330            Star                            K dwarfs, K stars
4501:171:1     FINEGUIDE   PRIME WFSC ROUTINE             2024-03-08T14:28:33Z  00/00:33:58  WFSC NIRCam Fine Phasing                            2MASS-04314688+4919448           Calibration                     Focus test
3983:8:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T15:36:44Z  00/00:54:00  MIRI Medium Resolution Spectroscopy                 CVSO-1545                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3983:9:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T16:43:45Z  00/00:45:36  MIRI Medium Resolution Spectroscopy                 CVSO-1575                        Star                            Pre-main sequence stars, Protoplanetary disks, T Tauri stars, Young stellar objects
3533:2:1       FINEGUIDE   PRIME TARGETED FIXED           2024-03-08T18:10:53Z  00/08:43:37  MIRI Medium Resolution Spectroscopy                 IZW18-BCK                        ISM                             Gaseous nebulae, H II regions, Interstellar dust, Interstellar molecules, Warm ionized medium
